country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Japan,20.1k,21.4k,22k,22.4k,23k,24.1k,25.3k,26k,25.8k,26.1k,27.7k,28.4k,29k,29.9k,31.4k,32.9k,34.5k,36.1k,36.2k,34.4k,36.3k,37.3k,38.6k,40.8k,41k,42.5k,42k,43k,43.8k,43.9k,43.2k,44.9k,48.5k
Kazakhstan,,,,6820,6160,5880,6090,6370,6440,6630,7240,8540,9610,10.6k,11.7k,12.6k,13.9k,15.3k,15.4k,16k,16.7k,17.8k,19.1k,21.9k,22.2k,21.8k,21.5k,22.2k,22.9k,24k,24.4k,25.3k,27.3k
Kenya,1670,1690,1660,1640,1680,1760,1830,1830,1870,1880,1880,1930,1920,1950,2050,2190,2320,2470,2460,2170,2320,2470,2550,2780,3040,3390,3970,4230,4500,4720,4670,5150,5680
Kyrgyz Republic,,2380,2070,1790,1440,1370,1470,1600,1610,1640,1750,1910,1930,2090,2230,2300,2470,2730,2910,2980,2890,2950,3530,3810,4100,4050,4440,4800,5100,5030,4900,5050,5670
Cambodia,,,,,,760,790,830,860,950,1040,1130,1190,1300,1440,1650,1850,2080,2210,2190,2330,2500,2730,2890,3020,3220,3510,3770,4090,4380,4330,4560,5070
Kiribati,1450,1960,2010,1960,1990,2110,1850,2230,2500,2270,2430,2550,2440,2350,2250,2320,2370,2460,2430,2300,2390,2290,2660,3010,3430,4090,3490,3760,3880,4320,3750,3790,3870
St. Kitts and Nevis,8740,8770,9150,9860,10.5k,11.2k,11.8k,12.6k,12.3k,12.6k,14.1k,14.9k,15.2k,14.6k,15.9k,18.1k,19.5k,20.2k,22.9k,22.2k,22.5k,23.3k,22.5k,23.9k,24.6k,24.8k,26.3k,28k,29.3k,32k,27.4k,28k,32.6k
South Korea,8350,9470,10.2k,11k,12.2k,13.4k,14.6k,15.6k,14.8k,16.6k,18.4k,19.6k,21.3k,22k,23.7k,25k,26.8k,29k,29.9k,29.5k,31.8k,32.8k,33.9k,34.5k,35.5k,38k,39.7k,41.1k,43.2k,43.8k,45.1k,47.6k,51.1k
Kosovo,,,,,,,,,,,,,,,,,,,6850,6980,7350,7970,8300,8580,8830,9510,10.1k,10.7k,11.2k,12.1k,11.6k,13.4k,15.2k
Kuwait,,,46.1k,56.9k,61.7k,68.5k,67.3k,70.3k,72.5k,66.8k,69.8k,67.3k,65.4k,75k,85.3k,94.3k,101k,101k,96.9k,85.4k,81.3k,83.4k,85.8k,81.2k,75.4k,51.5k,48.8k,57.8k,56.8k,56.6k,53.5k,59.1k,67.2k
